Transaction ID,Customer ID,product detail,City,Quantity,Price variation,Discount,Transaction Date,Revenue,Profit,Store
TTD1,32773,Grocery,Karachi,16,2402,0.2543355561440178,2025-10-29 15:13:44,28657.38,3675.61,Store D
TTD2,22149,Book,Faisabad,16,3658,0.0783399447483018,2025-10-30 13:55:37,53942.92,13069.48,Store C
TTD3,50218,Sports,Islamabad,7,604,0.1751745342924012,2024-06-09 01:37:06,3487.36,915.14,Store A
TTD4,57448,Sports,Islamabad,12,1520,0.2298422684343067,2025-05-05 04:27:19,14047.68,3569.43,Store A
TTD5,92242,Clothing,Queeta,3,2121,0.0408203247261892,2025-11-01 02:38:16,6103.26,999.61,Store F
TTD6,78856,Grocery,Karachi,8,4713,0.2337821606370839,2024-10-24 01:46:35,28889.48,7391.16,Store D
TTD7,32875,Book,Peshawar,4,2253,0.2953824328022668,2025-10-04 23:43:15,6350.01,1881.52,Store E
TTD8,15008,Book,Faisabad,12,2277,0.1482585062809336,2024-07-14 17:26:50,23272.98,4277.72,Store C
TTD9,65451,Sports,Queeta,11,2706,0.1736181737332444,2025-01-31 14:10:44,24598.08,3148.75,Store F
TTD10,81291,Book,Faisabad,3,699,0.0123123504096444,2024-03-02 20:34:53,2071.18,316.49,Store C
TTD11,47747,Grocery,Karachi,17,2622,0.2155059871632345,2025-11-21 07:59:17,34968.04,7279.06,Store D
TTD12,50168,Grocery,Lhore,14,533,0.1177585971221229,2024-03-25 03:37:56,6583.29,665.15,Store B
TTD13,30899,Electronics,Islamabad,6,1959,0.1504237901023132,2025-05-02 14:26:35,9985.92,1007.9,Store A
TTD14,91121,Sports,Faisabad,9,3228,0.2220851547783953,2025-10-13 21:11:41,22599.98,3032.23,Store C
TTD15,10186,Electronics,Karachi,12,1092,0.0610647467991324,2025-12-27 20:13:54,12303.81,3629.1,Store D
TTD16,94265,Clothing,Queeta,7,2087,0.2026299608037948,2025-12-28 02:13:04,11648.78,2514.99,Store F
TTD17,67539,Electronics,Queeta,16,1766,0.1861453259684868,2024-02-29 02:47:37,22996.28,2713.09,Store F
TTD18,76068,Grocery,Peshawar,12,3543,0.0829540961447361,2025-10-31 09:46:57,38989.12,6285.53,Store E
TTD19,20587,Grocery,Peshawar,9,2640,0.2406448109593726,2025-12-18 08:35:50,18042.28,2054.09,Store E
TTD20,85630,Book,Lhore,12,3241,0.2895051567312716,2025-12-02 11:21:16,27632.57,3387.52,Store B
TTD21,14879,Clothing,Queeta,1,277,0.0786097044172158,2024-06-20 15:14:38,255.23,63.91,Store F
TTD22,54979,Book,Faisabad,7,3888,0.064668646744581,2025-07-20 03:50:07,25455.98,6355.84,Store C
TTD23,27287,Sports,Karachi,14,4069,0.1299645351185988,2025-01-09 06:27:28,49562.44,11515.53,Store D
TTD24,25160,Book,Faisabad,7,851,0.1102185291807568,2024-04-18 22:48:49,5300.43,1512.27,Store C
TTD25,34781,Electronics,Lhore,3,212,0.1675011831452532,2024-04-01 20:54:27,529.47,86.76,Store B
TTD26,31272,Grocery,Lhore,14,1604,0.2149008320156968,2024-01-20 02:43:41,17630.19,3065.43,Store B
TTD27,81930,Book,Faisabad,1,1649,0.1736755533455884,2024-03-22 02:52:33,1362.61,386.96,Store C
TTD28,48399,Clothing,Peshawar,7,4095,0.0487910614694485,2025-02-02 12:11:35,27266.4,7059.0,Store E
TTD29,35960,Electronics,Peshawar,4,3547,0.1009715477794429,2024-10-12 19:44:34,12755.42,3350.72,Store E
TTD30,51973,Sports,Karachi,3,2360,0.081765063149429,2024-10-24 11:00:40,6501.1,1711.09,Store D
TTD31,15198,Grocery,Faisabad,10,1384,0.2629287518253659,2025-12-06 22:52:32,10201.07,2758.69,Store C
TTD32,52224,Grocery,Lhore,15,3069,0.0389590166502819,2025-06-26 16:46:49,44241.52,4532.19,Store B
TTD33,86430,Grocery,Faisabad,4,3552,0.2232944021094784,2025-10-01 08:26:45,11035.43,1454.87,Store C
TTD34,35486,Electronics,Karachi,16,2406,0.0343210996697013,2025-05-25 12:22:27,37174.77,9169.69,Store D
TTD35,37929,Clothing,Islamabad,11,652,0.2764505017889971,2025-01-05 23:29:29,5189.3,539.49,Store A
TTD36,28518,Sports,Queeta,16,4653,0.0247539430203685,2024-03-10 15:20:01,72605.12,20288.61,Store F
TTD37,41382,Book,Islamabad,13,958,0.2670631784302449,2025-02-12 22:08:53,9128.0,1778.77,Store A
TTD38,65281,Electronics,Karachi,2,2615,0.2606467975208165,2024-08-28 16:22:12,3866.82,723.73,Store D
TTD39,39600,Grocery,Lhore,10,1155,0.1279545519844899,2025-09-13 22:35:46,10072.12,3017.92,Store B
TTD40,17228,Electronics,Islamabad,17,1302,0.2273747634378877,2024-01-24 05:21:54,17101.29,2579.32,Store A
TTD41,83343,Clothing,Lhore,18,4628,0.2676514606811699,2024-05-03 11:53:16,61007.56,15496.27,Store B
TTD42,75908,Clothing,Karachi,18,1791,0.1858092040174425,2024-09-06 23:57:11,26247.88,3323.2,Store D
TTD43,27765,Electronics,Queeta,9,1679,0.0496303695535611,2024-09-21 09:12:38,14361.04,1477.48,Store F
TTD44,38655,Clothing,Peshawar,7,3834,0.0728825175558904,2025-10-21 04:18:57,24881.98,6725.54,Store E
TTD45,73573,Book,Peshawar,15,871,0.1206074585477249,2024-06-12 14:12:27,11489.26,3349.54,Store E
TTD46,43149,Grocery,Karachi,4,1586,0.2299128848778987,2025-05-06 10:54:39,4885.43,517.89,Store D
TTD47,75110,Book,Islamabad,5,346,0.0570904889691592,2025-04-07 23:04:53,1631.23,206.06,Store A
TTD48,63826,Sports,Peshawar,13,2514,0.2385867841847357,2025-05-11 10:23:57,24884.51,3987.11,Store E
TTD49,14446,Electronics,Islamabad,8,2008,0.018111303375601,2025-11-08 14:30:19,15773.06,3753.31,Store A
TTD50,17829,Clothing,Faisabad,7,4529,0.110793500901699,2024-12-16 17:57:50,28190.51,7904.14,Store C
TTD51,91237,Grocery,Faisabad,16,4780,0.2949884479418299,2025-09-06 15:52:44,53919.28,7907.59,Store C
TTD52,18940,Book,Queeta,12,3677,0.1534111619387442,2024-02-04 00:53:43,37354.89,9582.22,Store F
TTD53,47673,Grocery,Queeta,10,3050,0.2582978873301502,2024-07-17 12:45:34,22621.91,3472.24,Store F
TTD54,66599,Sports,Peshawar,14,1710,0.2645520217783647,2025-06-27 19:14:41,17606.62,5031.52,Store E
TTD55,27123,Electronics,Queeta,13,1079,0.2168273226899615,2024-02-06 09:18:31,10985.56,2093.35,Store F
TTD56,16472,Clothing,Faisabad,1,3900,0.2146997429597803,2025-08-19 17:59:13,3062.67,864.51,Store C
TTD57,63303,Electronics,Lhore,8,4880,0.1218661998851057,2024-11-18 16:42:43,34282.34,7915.31,Store B
TTD58,22952,Grocery,Lhore,17,4611,0.2594901886909861,2025-06-08 06:00:18,58046.34,15990.83,Store B
TTD59,58748,Grocery,Lhore,8,321,0.2827905886412268,2025-01-19 14:08:47,1841.79,498.35,Store B
TTD60,77029,Electronics,Faisabad,15,3894,0.216264390052816,2024-11-22 18:09:19,45778.0,5010.92,Store C
TTD61,68360,Sports,Peshawar,15,2826,0.1220153191345249,2024-03-01 13:00:27,37217.77,10394.45,Store E
TTD62,75507,Sports,Peshawar,12,156,0.2410482474731179,2024-07-20 07:48:08,1420.76,364.95,Store E
TTD63,16879,Book,Peshawar,7,3265,0.0255823074791017,2024-03-12 19:30:06,22270.32,3230.42,Store E
TTD64,15690,Clothing,Faisabad,5,1518,0.0999298763867926,2025-01-08 19:55:39,6831.53,1469.8,Store C
TTD65,95317,Sports,Karachi,13,2466,0.2867229992519393,2025-01-14 02:05:52,22866.23,5003.16,Store D
TTD66,82669,Sports,Queeta,19,2968,0.2326985602540974,2024-01-14 04:14:30,43269.66,10710.1,Store F
TTD67,20026,Grocery,Lhore,11,3633,0.0726782614221927,2024-04-02 18:57:55,37058.56,10799.23,Store B
TTD68,38224,Book,Faisabad,11,1928,0.2068002388638376,2024-09-03 18:23:29,16822.18,2853.02,Store C
TTD69,13833,Electronics,Lhore,8,2369,0.2061327493825865,2025-11-08 15:53:38,15045.37,3873.54,Store B
TTD70,73642,Clothing,Lhore,17,3088,0.2409572257566267,2024-10-21 06:32:05,39846.71,4129.41,Store B
TTD71,26647,Clothing,Islamabad,5,835,0.0220490844528721,2024-05-15 04:05:16,4082.95,417.18,Store A
TTD72,29318,Book,Queeta,5,4444,0.1898506966969572,2024-10-03 14:25:40,18001.52,2463.29,Store F
TTD73,45856,Clothing,Peshawar,12,4573,0.0022150075591961,2025-06-02 08:22:48,54754.45,9012.43,Store E
TTD74,24544,Book,Faisabad,5,3438,0.2747867355977276,2024-07-16 00:33:22,12466.42,1298.13,Store C
TTD75,84823,Clothing,Karachi,10,1432,0.0408264672496274,2025-03-02 18:23:20,13735.36,1883.33,Store D
TTD76,84692,Clothing,Faisabad,10,3525,0.070167849348045,2025-04-25 09:20:29,32776.58,6370.16,Store C
TTD77,30299,Clothing,Queeta,4,2780,0.024143137334187,2025-06-01 14:39:15,10851.53,3042.65,Store F
TTD78,34259,Book,Islamabad,9,834,0.0668217782074135,2024-09-09 08:39:15,7004.44,1192.05,Store A
TTD79,67735,Electronics,Lhore,11,1330,0.05005823412112,2024-02-05 21:46:19,13897.65,1482.75,Store B
TTD80,70355,Book,Karachi,18,4783,0.0300528391076969,2025-01-25 17:37:35,83506.63,12893.27,Store D
TTD81,88240,Clothing,Peshawar,8,4999,0.084729329564022,2025-02-06 11:14:22,36603.5,7879.91,Store E
TTD82,94964,Clothing,Peshawar,18,4317,0.1916358905049187,2025-10-16 10:28:40,62814.74,11117.55,Store E
TTD83,44797,Grocery,Faisabad,9,3653,0.0034403348427176,2025-02-16 04:28:03,32763.89,5899.88,Store C
TTD84,51219,Grocery,Queeta,2,4104,0.0765969800362104,2024-08-29 15:05:51,7579.29,896.74,Store F
TTD85,42735,Book,Karachi,5,2345,0.2364473182474502,2025-04-09 08:35:46,8952.66,1470.8,Store D
TTD86,79957,Grocery,Islamabad,10,4536,0.2171367707053666,2024-01-04 01:53:43,35510.68,5193.29,Store A
TTD87,19187,Grocery,Karachi,17,3630,0.116696989903145,2025-09-27 20:06:09,54508.63,12572.19,Store D
TTD88,58237,Grocery,Karachi,15,4560,0.1055162324980237,2025-02-11 00:21:27,61182.69,12006.29,Store D
TTD89,91363,Book,Karachi,18,3912,0.0261372174220319,2025-07-25 08:29:04,68575.52,18819.07,Store D
TTD90,94382,Clothing,Karachi,15,4504,0.2442313925117166,2025-08-20 18:49:19,51059.73,6536.35,Store D
TTD91,57604,Book,Peshawar,14,832,0.2824417326682444,2024-12-05 21:48:51,8358.12,2061.15,Store E
TTD92,94850,Book,Karachi,4,2188,0.0128912985592755,2025-12-06 09:48:39,8639.18,2159.13,Store D
TTD93,76559,Grocery,Queeta,5,4208,0.280062916458128,2024-11-05 14:05:52,15147.48,1606.98,Store F
TTD94,66855,Clothing,Karachi,1,1599,0.2670291636308999,2025-02-09 07:57:26,1172.02,144.02,Store D
TTD95,26585,Sports,Queeta,18,3179,0.1828416211533356,2025-02-27 12:38:50,46759.44,8798.03,Store F
TTD96,73425,Electronics,Karachi,15,1709,0.0882676879197999,2024-02-05 16:46:09,23372.26,4977.4,Store D
TTD97,39678,Book,Queeta,2,4746,0.0341184215263705,2025-11-08 20:42:00,9168.15,1486.54,Store F
