Transaction ID,Customer ID,product detail,City,Quantity,Price variation,Discount,Transaction Date,Revenue,Profit,Store,Customer Segment,Year,Month,Day_Name,Day_Type,Season,Profit Margin (%),Purchase Frequency,Product Rank
TTD1,32773,Grocery,Karachi,16,2402,0.2543355561440178,2025-10-29 15:13:44,28657.38,3675.61,Store D,Regular,2025,October,Wednesday,Weekday,Autumn,12.82605039260393,1,1.0
TTD2,22149,Book,Faisabad,16,3658,0.0783399447483018,2025-10-30 13:55:37,53942.92,13069.48,Store C,Premium,2025,October,Thursday,Weekday,Autumn,24.228351005099466,1,1.0
TTD3,50218,Sports,Islamabad,7,604,0.1751745342924012,2024-06-09 01:37:06,3487.36,915.14,Store A,Regular,2024,June,Sunday,Weekend,Summer,26.24162690401908,1,2.0
TTD4,57448,Sports,Islamabad,12,1520,0.2298422684343067,2025-05-05 04:27:19,14047.68,3569.43,Store A,Regular,2025,May,Monday,Weekday,Spring,25.409391443996444,1,2.0
TTD5,92242,Clothing,Queeta,3,2121,0.0408203247261892,2025-11-01 02:38:16,6103.26,999.61,Store F,Regular,2025,November,Saturday,Weekend,Autumn,16.37829618924968,1,3.0
TTD6,78856,Grocery,Karachi,8,4713,0.2337821606370839,2024-10-24 01:46:35,28889.48,7391.16,Store D,Regular,2024,October,Thursday,Weekday,Autumn,25.584261122041656,1,1.0
TTD7,32875,Book,Peshawar,4,2253,0.2953824328022668,2025-10-04 23:43:15,6350.01,1881.52,Store E,VIP,2025,October,Saturday,Weekend,Autumn,29.6301895587566,1,1.0
TTD8,15008,Book,Faisabad,12,2277,0.1482585062809336,2024-07-14 17:26:50,23272.98,4277.72,Store C,VIP,2024,July,Sunday,Weekend,Summer,18.380628522862136,1,1.0
TTD9,65451,Sports,Queeta,11,2706,0.1736181737332444,2025-01-31 14:10:44,24598.08,3148.75,Store F,Regular,2025,January,Friday,Weekday,Winter,12.800795834471632,1,2.0
TTD10,81291,Book,Faisabad,3,699,0.0123123504096444,2024-03-02 20:34:53,2071.18,316.49,Store C,VIP,2024,March,Saturday,Weekend,Spring,15.280661265558765,1,1.0
TTD11,47747,Grocery,Karachi,17,2622,0.2155059871632345,2025-11-21 07:59:17,34968.04,7279.06,Store D,Premium,2025,November,Friday,Weekday,Autumn,20.81632256197373,1,1.0
TTD12,50168,Grocery,Lhore,14,533,0.1177585971221229,2024-03-25 03:37:56,6583.29,665.15,Store B,Regular,2024,March,Monday,Weekday,Spring,10.103610808577471,1,1.0
TTD13,30899,Electronics,Islamabad,6,1959,0.1504237901023132,2025-05-02 14:26:35,9985.92,1007.9,Store A,Premium,2025,May,Friday,Weekday,Spring,10.09321124142793,1,4.0
TTD14,91121,Sports,Faisabad,9,3228,0.2220851547783953,2025-10-13 21:11:41,22599.98,3032.23,Store C,Regular,2025,October,Monday,Weekday,Autumn,13.416958776069713,1,2.0
TTD15,10186,Electronics,Karachi,12,1092,0.0610647467991324,2025-12-27 20:13:54,12303.81,3629.1,Store D,VIP,2025,December,Saturday,Weekend,Winter,29.49574156297928,1,4.0
TTD16,94265,Clothing,Queeta,7,2087,0.2026299608037948,2025-12-28 02:13:04,11648.78,2514.99,Store F,Regular,2025,December,Sunday,Weekend,Winter,21.590157939286343,1,3.0
TTD17,67539,Electronics,Queeta,16,1766,0.1861453259684868,2024-02-29 02:47:37,22996.28,2713.09,Store F,Premium,2024,February,Thursday,Weekday,Winter,11.79795166870468,1,4.0
TTD18,76068,Grocery,Peshawar,12,3543,0.0829540961447361,2025-10-31 09:46:57,38989.12,6285.53,Store E,Premium,2025,October,Friday,Weekday,Autumn,16.121241002618163,1,1.0
TTD19,20587,Grocery,Peshawar,9,2640,0.2406448109593726,2025-12-18 08:35:50,18042.28,2054.09,Store E,Premium,2025,December,Thursday,Weekday,Winter,11.38486931806845,1,1.0
TTD20,85630,Book,Lhore,12,3241,0.2895051567312716,2025-12-02 11:21:16,27632.57,3387.52,Store B,Regular,2025,December,Tuesday,Weekday,Winter,12.259156495396557,1,1.0
TTD21,14879,Clothing,Queeta,1,277,0.0786097044172158,2024-06-20 15:14:38,255.23,63.91,Store F,VIP,2024,June,Thursday,Weekday,Summer,25.040159855816324,1,3.0
